stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,platform_code
AME1,Ameerpet,17.4352864,78.4447834,AME_B,0,AME,1
AME2,Ameerpet,17.4352864,78.4447834,AME_B,0,AME,2
PUN,Panjagutta,17.4289362,78.450955,PUN,1,,
PUN1,Panjagutta,17.4289362,78.450955,PUN,0,PUN,1
PUN2,Panjagutta,17.4289362,78.450955,PUN,0,PUN,2
IRM,Erra Manzil,17.4202292,78.4563489,IRM,1,,
IRM1,Erra Manzil,17.4202292,78.4563489,IRM,0,IRM,1
IRM2,Erra Manzil,17.4202292,78.4563489,IRM,0,IRM,2
KHA,Khairatabad,17.4116323,78.4608678,KHA,1,,
KHA1,Khairatabad,17.4116323,78.4608678,KHA,0,KHA,1
KHA2,Khairatabad,17.4116323,78.4608678,KHA,0,KHA,2
LKP,Lakdi-ka-pul,17.4040433,78.4649442,LKP,1,,
LKP1,Lakdi-ka-pul,17.4040433,78.4649442,LKP,0,LKP,1
LKP2,Lakdi-ka-pul,17.4040433,78.4649442,LKP,0,LKP,2
ASM,Assembly,17.3979907,78.4708797,ASM,1,,
ASM1,Assembly,17.3979907,78.4708797,ASM,0,ASM,1
ASM2,Assembly,17.3979907,78.4708797,ASM,0,ASM,2
NAM,Nampally,17.392222,78.4701612,NAM,1,,
NAM1,Nampally,17.392222,78.4701612,NAM,0,NAM,1
NAM2,Nampally,17.392222,78.4701612,NAM,0,NAM,2
GAB,Gandhi Bhavan,17.3858253,78.4733347,GAB,1,,
GAB1,Gandhi Bhavan,17.3858253,78.4733347,GAB,0,GAB,1
GAB2,Gandhi Bhavan,17.3858253,78.4733347,GAB,0,GAB,2
OMC,Osmania Medical College,17.3820769,78.4817011,OMC,1,,
OMC1,Osmania Medical College,17.3820769,78.4817011,OMC,0,OMC,1
OMC2,Osmania Medical College,17.3820769,78.4817011,OMC,0,OMC,2
MGB,Mahatma Gandhi Bus Station,17.3797886,78.4861571,,1,,
MGB1,Mahatma Gandhi Bus Station,17.3797886,78.4861571,MGB_R,0,MGB,1
MGB2,Mahatma Gandhi Bus Station,17.3797886,78.4861571,MGB_R,0,MGB,2
MGB3,Mahatma Gandhi Bus Station,17.3797886,78.4861571,MGB_G,0,MGB,3
MGB4,Mahatma Gandhi Bus Station,17.3797886,78.4861571,MGB_G,0,MGB,4
MKL,Malakpet,17.3771888,78.4939356,MKL,1,,
MKL1,Malakpet,17.3771888,78.4939356,MKL,0,MKL,1
MKL2,Malakpet,17.3771888,78.4939356,MKL,0,MKL,2
NEM,New Market,17.3734454,78.5031791,NEM,1,,
NEM1,New Market,17.3734454,78.5031791,NEM,0,NEM,1
NEM2,New Market,17.3734454,78.5031791,NEM,0,NEM,2
MSB,Musarambagh,17.3710873,78.5119545,MSB,1,,
MSB1,Musarambagh,17.3710873,78.5119545,MSB,0,MSB,1
MSB2,Musarambagh,17.3710873,78.5119545,MSB,0,MSB,2
DSN,Dilsukh Nagar,17.3685493,78.5253873,DSN,1,,
DSN1,Dilsukh Nagar,17.3685493,78.5253873,DSN,0,DSN,1
DSN2,Dilsukh Nagar,17.3685493,78.5253873,DSN,0,DSN,2
CHP,Chaitanyapuri,17.3681501,78.5381335,CHP,1,,
CHP1,Chaitanyapuri,17.3681501,78.5381335,CHP,0,CHP,1
CHP2,Chaitanyapuri,17.3681501,78.5381335,CHP,0,CHP,2
VOM,Victoria Memorial,17.3618565,78.5439622,VOM,1,,
VOM1,Victoria Memorial,17.3618565,78.5439622,VOM,0,VOM,1
VOM2,Victoria Memorial,17.3618565,78.5439622,VOM,0,VOM,2
LBN,L. B. Nagar,17.349846,78.5479412,LBN,1,,
LBN1,L. B. Nagar,17.349846,78.5479412,LBN,0,LBN,1
LBN2,L. B. Nagar,17.349846,78.5479412,LBN,0,LBN,2
SUB,Sultan Bazar,17.3844473,78.4840241,SUB,1,,
SUB1,Sultan Bazar,17.3844473,78.4840241,SUB,0,SUB,1
SUB2,Sultan Bazar,17.3844473,78.4840241,SUB,0,SUB,2
NAR,Narayanaguda,17.3943658,78.4899578,NAR,1,,
NAR1,Narayanaguda,17.3943658,78.4899578,NAR,0,NAR,1
NAR2,Narayanaguda,17.3943658,78.4899578,NAR,0,NAR,2
CDP,Chikkadpally,17.4003634,78.4948964,CDP,1,,
CDP1,Chikkadpally,17.4003634,78.4948964,CDP,0,CDP,1
CDP2,Chikkadpally,17.4003634,78.4948964,CDP,0,CDP,2
RTC,RTC Cross Roads,17.4070321,78.4968023,RTC,1,,
RTC1,RTC Cross Roads,17.4070321,78.4968023,RTC,0,RTC,1
RTC2,RTC Cross Roads,17.4070321,78.4968023,RTC,0,RTC,2
MSH,Musheerabad,17.4178744,78.4995051,MSH,1,,
MSH1,Musheerabad,17.4178744,78.4995051,MSH,0,MSH,1
MSH2,Musheerabad,17.4178744,78.4995051,MSH,0,MSH,2
GNH,Gandhi Hospital,17.4255155,78.501956,GNH,1,,
GNH1,Gandhi Hospital,17.4255155,78.501956,GNH,0,GNH,1
GNH2,Gandhi Hospital,17.4255155,78.501956,GNH,0,GNH,2
SCR,Secunderabad West,17.4338034,78.4995181,SCR,1,,
SCR1,Secunderabad West,17.4338034,78.4995181,SCR,0,SCR,1
SCR2,Secunderabad West,17.4338034,78.4995181,SCR,0,SCR,2
JBS,JBS Parade Ground,17.4444775,78.497584,JBS,1,,
PRG4,JBS Parade Ground,17.4444775,78.497584,JBS,0,JBS,4
NAG,Nagole,17.3907683,78.5588222,NAG,1,,
NAG1,Nagole,17.3907683,78.5588222,NAG,0,NAG,1
NAG2,Nagole,17.3907683,78.5588222,NAG,0,NAG,2
UPL,Uppal,17.4000665,78.5601868,UPL,1,,
UPL1,Uppal,17.4000665,78.5601868,UPL,0,UPL,1
UPL2,Uppal,17.4000665,78.5601868,UPL,0,UPL,2
STD,Stadium,17.4074002,78.5542531,STD,1,,
SOI1,Stadium,17.4074002,78.5542531,STD,0,STD,1
SOI2,Stadium,17.4074002,78.5542531,STD,0,STD,2
NGR,NGRI,17.4148264,78.5463345,NGR,1,,
NGR1,NGRI,17.4148264,78.5463345,NGR,0,NGR,1
NGR2,NGRI,17.4148264,78.5463345,NGR,0,NGR,2
HSG,Habsiguda,17.42018,78.540548,HSG,1,,
HSG1,Habsiguda,17.42018,78.540548,HSG,0,HSG,1
HSG2,Habsiguda,17.42018,78.540548,HSG,0,HSG,2
TAR,Tarnaka,17.4274418,78.5300079,TAR,1,,
TAR1,Tarnaka,17.4274418,78.5300079,TAR,0,TAR,1
TAR2,Tarnaka,17.4274418,78.5300079,TAR,0,TAR,2
MET,Mettuguda,17.4355207,78.5195754,MET,1,,
MET1,Mettuguda,17.4355207,78.5195754,MET,0,MET,1
MET2,Mettuguda,17.4355207,78.5195754,MET,0,MET,2
SEC_E,Secunderabad East,17.4357184,78.5054623,SEC_E,1,,
SEC1,Secunderabad East,17.4357184,78.5054623,SEC_E,0,SEC_E,1
SEC2,Secunderabad East,17.4357184,78.5054623,SEC_E,0,SEC_E,2
PRG,Parade Ground,17.4431943,78.4974687,PRG,1,,
PRG1,Parade Ground,17.4431943,78.4974687,PRG,0,PRG,1
PRG2,Parade Ground,17.4431943,78.4974687,PRG,0,PRG,2
PAR,Paradise,17.4434668,78.4862436,PAR,1,,
PAR1,Paradise,17.4434668,78.4862436,PAR,0,PAR,1
PAR2,Paradise,17.4434668,78.4862436,PAR,0,PAR,2
ROP,Rasoolpura,17.443612,78.4764053,ROP,1,,
ROP1,Rasoolpura,17.443612,78.4764053,ROP,0,ROP,1
ROP2,Rasoolpura,17.443612,78.4764053,ROP,0,ROP,2
PRN,Prakash Nagar,17.4448889,78.4658749,PRN,1,,
PRN1,Prakash Nagar,17.4448889,78.4658749,PRN,0,PRN,1
PRN2,Prakash Nagar,17.4448889,78.4658749,PRN,0,PRN,2
BEG,Begumpet,17.4375661,78.4569341,BEG,1,,
BEG1,Begumpet,17.4375661,78.4569341,BEG,0,BEG,1
BEG2,Begumpet,17.4375661,78.4569341,BEG,0,BEG,2
MUN,Madhura Nagar,17.4369652,78.4390993,MUN,1,,
MUN1,Madhura Nagar,17.4369652,78.4390993,MUN,0,MUN,1
MUN2,Madhura Nagar,17.4369652,78.4390993,MUN,0,MUN,2
YUG,Yusufguda,17.4351132,78.4273216,YUG,1,,
YUG1,Yusufguda,17.4351132,78.4273216,YUG,0,YUG,1
YUG2,Yusufguda,17.4351132,78.4273216,YUG,0,YUG,2
JR5,Road No 5 Jubilee Hills,17.4300489,78.4232069,JR5,1,,
JR51,Road No 5 Jubilee Hills,17.4300489,78.4232069,JR5,0,JR5,1
JR52,Road No 5 Jubilee Hills,17.4300489,78.4232069,JR5,0,JR5,2
JCP,Jubilee Hills Checkpost,17.4281969,78.4137145,JCP,1,,
JCP1,Jubilee Hills Checkpost,17.4281969,78.4137145,JCP,0,JCP,1
JCP2,Jubilee Hills Checkpost,17.4281969,78.4137145,JCP,0,JCP,2
PED,Peddamma Gudi,17.4306512,78.4083721,PED,1,,
PED1,Peddamma Gudi,17.4306512,78.4083721,PED,0,PED,1
PED2,Peddamma Gudi,17.4306512,78.4083721,PED,0,PED,2
MAD,Madhapur,17.4372637,78.4004257,MAD,1,,
MAD1,Madhapur,17.4372637,78.4004257,MAD,0,MAD,1
MAD2,Madhapur,17.4372637,78.4004257,MAD,0,MAD,2
DGC,Durgam Cheruvu,17.4429466,78.3875721,DGC,1,,
DGC1,Durgam Cheruvu,17.4429466,78.3875721,DGC,0,DGC,1
DGC2,Durgam Cheruvu,17.4429466,78.3875721,DGC,0,DGC,2
HTC,HITEC City,17.4490055,78.3831376,HTC,1,,
HTC1,HITEC City,17.4490055,78.3831376,HTC,0,HTC,1
HTC2,HITEC City,17.4490055,78.3831376,HTC,0,HTC,2
RDG,Raidurg,17.442,78.3772038,RDG,1,,
RDG1,Raidurg,17.442,78.3772038,RDG,0,RDG,1
RDG2,Raidurg,17.442,78.3772038,RDG,0,RDG,2
MYP_ENT01,MYP Arm A  Staircase,17.4963648,78.3736588,,2,MYP,
MYP_ENT02,MYP Arm A  Lift,17.4963479,78.3733665,,2,MYP,
MYP_ENT03,MYP Arm B Combined Staircase & Escalator,17.4963756,78.3724185,,2,MYP,
MYP_ENT04,MYP Arm C Lift,17.496703,78.3727422,,2,MYP,
MYP_ENT05,MYP Arm C Combined Staircase & Escalator,17.4967171,78.37241,,2,MYP,
MYP_ENT06,MYP Arm D Combined Staircase & Escalator,17.4966966,78.3737029,,2,MYP,
JNT_ENT01,JNT Arm A  Lift,17.49844423,78.3891904,,2,JNT,
JNT_ENT02,JNT Arm A  Combined Staircase & Escalator,17.4984143,78.3895247,,2,JNT,
JNT_ENT03,JNT Arm B Staircase,17.4985714,78.3882406,,2,JNT,
JNT_ENT04,JNT Arm C Lift,17.498861,78.3886454,,2,JNT,
JNT_ENT05,JNT Arm C Combined Staircase & Escalator,17.4988974,78.3882906,,2,JNT,
JNT_ENT06,JNT Arm D Staircase,17.4988232,78.3889768,,2,JNT,
KPH_ENT01,KPH Arm A  Staircase,17.4935653,78.4017087,,2,KPH,
KPH_ENT02,KPH Arm A  Lift,17.4934253,78.4020052,,2,KPH,
KPH_ENT03,KPH Arm B Combined Staircase & Escalator,17.4934253,78.4020052,,2,KPH,
KPH_ENT04,KPH Arm C Staircase,17.493965,78.4017893,,2,KPH,
KPH_ENT05,KPH Arm C Lift,17.4941065,78.4015309,,2,KPH,
KPH_ENT06,KPH Arm D Staircase,17.4936727,78.4024401,,2,KPH,
KPH_ENT07,KPH Arm D Escalator,17.4939291,78.4019036,,2,KPH,
KUK_ENT01,KUK Arm A  Lift,17.4847658,78.4116935,,2,KUK,
KUK_ENT02,KUK Arm A  Staircase ,17.4845311,78.4118688,,2,KUK,
KUK_ENT03,KUK Arm B Staircase,17.4855337,78.4111497,,2,KUK,
KUK_ENT04,KUK Arm B Escalator,17.4850594,78.4114849,,2,KUK,
KUK_ENT05,KUK Arm C Lift,17.4854283,78.4116273,,2,KUK,
KUK_ENT06,KUK Arm C  Staircase ,17.4857464,78.4113932,,2,KUK,
KUK_ENT07,KUK Arm D Escalator,17.4847373,78.4121196,,2,KUK,
KUK_ENT08,KUK Arm D Staircase ,17.4852546,78.4117524,,2,KUK,
BLR_ENT01,BLR Arm A  Staircase,17.4763376,78.4224433,,2,BLR,
BLR_ENT02,BLR Arm A  Lift,17.4764787,78.4222188,,2,BLR,
BLR_ENT03,BLR Arm B Staircase,17.4770577,78.421342,,2,BLR,
BLR_ENT04,BLR Arm B Escalator,17.4766958,78.4218804,,2,BLR,
BLR_ENT05,BLR Arm C Staircase,17.4775665,78.4211374,,2,BLR,
BLR_ENT06,BLR Arm C Lift,17.4774279,78.4213552,,2,BLR,
BLR_ENT07,BLR Arm D Staircase,17.4765953,78.4226356,,2,BLR,
BLR_ENT08,BLR Arm D Escalator,17.4769129,78.4221454,,2,BLR,
MSP_ENT01,MSP Arm A  Combined Staircase & Escalator,17.4714706,78.4261823,,2,MSP,
MSP_ENT02,MSP Arm B Staircase,17.4727184,78.4253532,,2,MSP,
MSP_ENT03,MSP Arm B Lift,17.472522,78.4254953,,2,MSP,
MSP_ENT04,MSP Arm C Staircase,17.4722616,78.4260605,,2,MSP,
MSP_ENT05,MSP Arm D Combined Staircase & Escalator,17.4716317,78.4265123,,2,MSP,
MSP_ENT06,MSP Arm D Lift,17.4718886,78.4263358,,2,MSP,
BTN_ENT01,BTN Arm A Combined Staircase & Escalator,17.46308,78.4304517,,2,BTN,
BTN_ENT02,BTN Arm B Staircase,17.4645819,78.4297594,,2,BTN,
BTN_ENT03,BTN Arm B Lift,17.4645988,78.4297798,,2,BTN,
BTN_ENT04,BTN Arm C Combined Staircase & Escalator,17.4640788,78.4302177,,2,BTN,
BTN_ENT05,BTN Arm D Staircase,17.4635251,78.4304692,,2,BTN,
BTN_ENT06,BTN Arm D Lift,17.4637936,78.4303468,,2,BTN,
ERA_ENT01,ERA Arm A  Staircase,17.4565983,78.4336119,,2,ERA,
ERA_ENT02,ERA Arm A  Escalator,17.4571091,78.4333813,,2,ERA,
ERA_ENT03,ERA Arm A  Lift,17.4571091,78.4333813,,2,ERA,
ERA_ENT04,ERA Arm A  Combined Staircase & Escalator,17.4571091,78.4333813,,2,ERA,
ERA_ENT05,ERA Arm B Staircase,17.4572154,78.4333364,,2,ERA,
ERA_ENT06,ERA Arm B Lift,17.4574842,78.4332164,,2,ERA,
ERA_ENT07,ERA Arm C Staircase,17.458319,78.4334947,,2,ERA,
ERA_ENT08,ERA Arm C Lift,17.4575858,78.4335981,,2,ERA,
ERA_ENT09,ERA Arm D  Staircase ,17.4567343,78.4339361,,2,ERA,
ERA_ENT10,ERA Arm D Escalator,17.4572486,78.4337089,,2,ERA,
ESI_ENT01,ESI Arm A Staircase,17.4471721,78.4382922,,2,ESI,
ESI_ENT02,ESI Arm A Escalator,17.4467245,78.4385343,,2,ESI,
ESI_ENT03,ESI Arm B  Staircase,17.4473389,78.4381614,,2,ESI,
ESI_ENT04,ESI Arm B  Lift,17.4475586,78.4381032,,2,ESI,
ESI_ENT05,ESI Arm C  Staircase,17.4477877,78.4383761,,2,ESI,
ESI_ENT06,ESI Arm C  Lift,17.4476973,78.4383908,,2,ESI,
ESI_ENT07,ESI Arm D  Staircase,17.4473403,78.4386147,,2,ESI,
ESI_ENT08,ESI Arm D  Escalator,17.4468818,78.4388637,,2,ESI,
SRN_ENT01,SRN Arm A Lift,17.4412764,78.4417303,,2,SRN,
SRN_ENT02,SRN Arm A Staircase,17.4409751,78.4419123,,2,SRN,
SRN_ENT03,SRN Arm B Staircase,17.442046,78.441261,,2,SRN,
SRN_ENT04,SRN Arm B Escalator,17.4415707,78.4415552,,2,SRN,
SRN_ENT05,SRN Arm C Lift,17.4420124,78.4417028,,2,SRN,
SRN_ENT06,SRN Arm C Staircase,17.4417641,78.4418482,,2,SRN,
SRN_ENT07,SRN Arm D Staircase,17.4411422,78.4422274,,2,SRN,
SRN_ENT08,SRN Arm D Escalator,17.441686,78.4418968,,2,SRN,
OMC_ENT01,OMC Arm A  Combined Staircase & Escalator,17.3817646,78.4813492,,2,OMC,
OMC_ENT02,OMC Arm B Staircase,17.3827461,78.4801219,,2,OMC,
OMC_ENT03,OMC Arm B Lift,17.3826712,78.4803179,,2,OMC,
OMC_ENT04,OMC Arm C Staircase,17.3827739,78.4806655,,2,OMC,
OMC_ENT05,OMC Arm C Escalator,17.38241,78.4814003,,2,OMC,
OMC_ENT06,OMC Arm C Lift,17.3826015,78.4810528,,2,OMC,
OMC_ENT07,OMC Arm D Staircase,17.3823681,78.481877,,2,OMC,
GAB_ENT01,GAB Arm A  Staircase,17.3848547,78.473817,,2,GAB,
GAB_ENT02,GAB Arm B Lift,17.386186,78.4728251,,2,GAB,
GAB_ENT03,GAB Arm B Combined Staircase & Escalator,17.3858198,78.4730667,,2,GAB,
GAB_ENT04,GAB Arm C Lift,17.3863871,78.4731391,,2,GAB,
GAB_ENT05,GAB Arm C Combined Staircase & Escalator,17.3860407,78.4734015,,2,GAB,
GAB_ENT06,GAB Arm D Staircase,17.3851351,78.4740122,,2,GAB,
NAM_ENT01,NAM Arm A  Staircase,17.3920328,78.4696326,,2,NAM,
NAM_ENT02,NAM Arm A  Combined Staircase & Escalator,17.3921823,78.4696935,,2,NAM,
NAM_ENT03,NAM Arm B Staircase,17.3924285,78.469708,,2,NAM,
NAM_ENT04,NAM Arm B Lift,17.3924313,78.4699526,,2,NAM,
NAM_ENT05,NAM Arm B Combined Staircase & Escalator,17.3922718,78.4697351,,2,NAM,
NAM_ENT06,NAM Arm C Staircase,17.392133729557,78.4702977665619,,2,NAM,
NAM_ENT07,NAM Arm D Staircase,17.3916217,78.4702453,,2,NAM,
NAM_ENT08,NAM Arm D Lift,17.3918588,78.4702719,,2,NAM,
ASM_ENT01,ASM Arm A  Staircase,17.397029,78.470867,,2,ASM,
ASM_ENT02,ASM Arm B Staircase,17.397357,78.4708174,,2,ASM,
ASM_ENT03,ASM Arm B Escalator,17.3979657,78.4707188,,2,ASM,
ASM_ENT04,ASM Arm D Combined Staircase & Escalator,17.398629,78.4708976,,2,ASM,
ASM_ENT05,ASM Arm E Staircase,17.3972809,78.4710918,,2,ASM,
ASM_ENT06,ASM Arm E Lift,17.3976523,78.4710315,,2,ASM,
LKP_ENT01,LKP Arm A  Staircase,17.4032959,78.4652777,,2,LKP,
LKP_ENT02,LKP Arm A  Escalator,17.4037307,78.4648293,,2,LKP,
LKP_ENT03,LKP Arm A  Lift,17.4035529,78.4650407,,2,LKP,
LKP_ENT04,LKP Arm B Staircase,17.4046873,78.4642053,,2,LKP,
LKP_ENT05,LKP Arm C Escalator,17.4046041,78.4645994,,2,LKP,
LKP_ENT06,LKP Arm C Lift,17.4041495,78.4650213,,2,LKP,
LKP_ENT07,LKP Arm D Staircase ,17.4033282,78.4657705,,2,LKP,
KHA_ENT01,KHA Arm A  Staircase,17.4108969,78.4608301,,2,KHA,
KHA_ENT02,KHA Arm A  Escalator,17.4115518,78.4607278,,2,KHA,
KHA_ENT03,KHA Arm B Staircase,17.4125745,78.4603895,,2,KHA,
KHA_ENT04,KHA Arm B Lift,17.4123498,78.4605308,,2,KHA,
KHA_ENT05,KHA Arm C Lift,17.4125731,78.4608,,2,KHA,
KHA_ENT06,KHA Arm C Combined Staircase & Escalator,17.412713,78.4606701,,2,KHA,
IRM_ENT01,IRM Arm A  Lift,17.420151099999998,78.4562133,,2,IRM,
IRM_ENT02,IRM Arm A  Staircase,17.4203915,78.4559541,,2,IRM,
IRM_ENT03,IRM Arm B Staircase,17.4213627,78.4554336,,2,IRM,
IRM_ENT04,IRM Arm B Escalator,17.4208556,78.4557648,,2,IRM,
IRM_ENT05,IRM Arm C Staircase,17.4212838,78.4561488,,2,IRM,
IRM_ENT06,IRM Arm C Escalator,17.4215994,78.4555708,,2,IRM,
IRM_ENT07,IRM Arm D Staircase,17.420019,78.4566376,,2,IRM,
IRM_ENT08,IRM Arm D Lift,17.4204175,78.4563565,,2,IRM,
PUN_ENT01,PUN Arm A  Staircase,17.4279725,78.4514618,,2,PUN,
PUN_ENT02,PUN Arm A  Lift,17.4281866,78.4513182,,2,PUN,
PUN_ENT03,PUN Arm B Staircase,17.4289675,78.4507538,,2,PUN,
PUN_ENT04,PUN Arm B Escalator,17.4285033,78.451076,,2,PUN,
PUN_ENT05,PUN Arm C Staircase,17.4286886,78.4512859,,2,PUN,
PUN_ENT06,PUN Arm D Staircase,17.4295042,78.4506861,,2,PUN,
PUN_ENT07,PUN Arm E Staircase,17.4291393,78.4509582,,2,PUN,
PUN_ENT08,PUN Arm E Lift,17.4286921,78.4512753,,2,PUN,
PUN_ENT09,PUN Arm F Staircase,17.4286267,78.451324,,2,PUN,
PUN_ENT10,PUN Arm F Lift,17.4282909,78.4515586,,2,PUN,
LBN_ENT01,LBN Arm A Lift,17.34935,78.5480894,,2,LBN,
LBN_ENT02,LBN Arm A Combined Staircase & Escalator,17.3495721,78.5479452,,2,LBN,
LBN_ENT03,LBN Arm B Combined Staircase & Escalator,17.3500893,78.5475331,,2,LBN,
LBN_ENT04,LBN Arm C Lift,17.350036,78.5479746,,2,LBN,
LBN_ENT05,LBN Arm C Combined Staircase & Escalator,17.3502938,78.5478238,,2,LBN,
LBN_ENT06,LBN Arm D Staircase,17.3493733,78.5485306,,2,LBN,
VOM_ENT01,VOM Arm A  Lift,17.3614645,78.5438284,,2,VOM,
VOM_ENT02,VOM Arm A  Combined Staircase & Escalator,17.3612394,78.543928,,2,VOM,
VOM_ENT03,VOM Arm B Staircase,17.362391,78.5436237,,2,VOM,
VOM_ENT04,VOM Arm C  Lift,17.3621724,78.5440019,,2,VOM,
VOM_ENT05,VOM Arm C  Combined Staircase & Escalator,17.3625185,78.5439558,,2,VOM,
VOM_ENT06,VOM Arm D Staircase,17.3613347,78.5442703,,2,VOM,
CHP_ENT01,CHP Arm A  Staircase,17.3681566,78.5365324,,2,CHP,
CHP_ENT02,CHP Arm A  Lift,17.3681371,78.5362224,,2,CHP,
CHP_ENT03,CHP Arm B  Combined Staircase & Escalator,17.3681869,78.5352648,,2,CHP,
CHP_ENT04,CHP Arm C Lift,17.3684702,78.5355288,,2,CHP,
CHP_ENT05,CHP Arm C Combined Staircase & Escalator,17.3685246,78.5352714,,2,CHP,
CHP_ENT06,CHP Arm D Staircase,17.3684933,78.5365053,,2,CHP,
DSN_ENT01,DSN Arm A  Staircase,17.368404,78.5264142,,2,DSN,
DSN_ENT02,DSN Arm B Lift,17.368397,78.5253811,,2,DSN,
DSN_ENT03,DSN Arm B Combined Staircase & Escalator,17.3684246,78.5251262,,2,DSN,
DSN_ENT04,DSN Arm C Lift,17.368734,78.5250883,,2,DSN,
DSN_ENT05,DSN Arm C Combined Staircase & Escalator,17.3687619,78.5248587,,2,DSN,
DSN_ENT06,DSN Arm D Staircase,17.3687089,78.5257902,,2,DSN,
MSB_ENT01,MSB Arm A  Staircase,17.3706509,78.5124269,,2,MSB,
MSB_ENT02,MSB Arm B Lift,17.3711009,78.5116232,,2,MSB,
MSB_ENT03,MSB Arm B Combined Staircase & Escalator,17.3712284,78.5113881,,2,MSB,
MSB_ENT04,MSB Arm C Staircase,17.371257,78.5120082,,2,MSB,
MSB_ENT05,MSB Arm D Lift,17.3710591,78.5123626,,2,MSB,
MSB_ENT06,MSB Arm D Combined Staircase & Escalator,17.3709213,78.5126291,,2,MSB,
NEM_ENT01,NEM Arm A  Staircase,17.3731382,78.5042671,,2,NEM,
NEM_ENT02,NEM Arm A  Escalator,17.3732076,78.5037212,,2,NEM,
NEM_ENT03,NEM Arm B Staircase,17.3733106,78.5030327,,2,NEM,
NEM_ENT04,NEM Arm B Lift,17.3733854,78.5025714,,2,NEM,
NEM_ENT05,NEM Arm C Staircase,17.3736697,78.5025349,,2,NEM,
NEM_ENT06,NEM Arm C Lift,17.3735879,78.5029653,,2,NEM,
NEM_ENT07,NEM Arm D Staircase,17.3735654,78.5032116,,2,NEM,
NEM_ENT08,NEM Arm D Escalator,17.3734899,78.5037566,,2,NEM,
MKL_ENT01,MKL Arm B Staircase,17.3771967,78.4927018,,2,MKL,
MKL_ENT02,MKL Arm B Escalator,17.3771391,78.4933575,,2,MKL,
MKL_ENT03,MKL Arm C Staircase,17.3775275,78.4935118,,2,MKL,
MKL_ENT04,MKL Arm D Lift,17.3772986,78.4945077,,2,MKL,
MKL_ENT05,MKL Arm D Combined Staircase & Escalator,17.3773407,78.4941662,,2,MKL,
MGB_ENT01,MGBS Arm A Lift,17.379362,78.4848741,,2,MGB,
MGB_ENT02,MGBS Arm A Combined Staircase & Escalator,17.3793931,78.4846781,,2,MGB,
MGB_ENT03,MGBS Arm B Lift,17.3783475,78.4879675,,2,MGB,
MGB_ENT04,MGBS Arm B Combined Staircase & Escalator,17.3781583,78.4880724,,2,MGB,
SUB_ENT01,SUB Arm A  Staircase,17.3831886,78.4830473,,2,SUB,
SUB_ENT02,SUB Arm A  Escalator,17.3836278,78.4834836,,2,SUB,
SUB_ENT03,SUB Arm A  Lift,17.3836278,78.4834836,,2,SUB,
SUB_ENT04,SUB Arm A  Combined Staircase & Escalator,17.3836278,78.4834836,,2,SUB,
SUB_ENT05,SUB Arm B Staircase,17.3838954,78.4833542,,2,SUB,
SUB_ENT06,SUB Arm B Escalator,17.3838954,78.4833542,,2,SUB,
